Община,Училище,"БЕЛ-УЧ 24""",БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21,БЕЛ-УЧ 20,БЕЛ 20,МАТ-УЧ 20,МАТ 20,БЕЛ-УЧ 19,БЕЛ 19,МАТ-УЧ 19,МАТ 19
ХАДЖИДИМОВО,Основно училище Гоце Делчев,2.0,11.0,2.0,10.5,7.0,48.43,7.0,32.93,13.0,"47,58",13.0,"24,83",9.0,"65,33",9.0,"29,44",13.0,"54,73",13.0,"30,77",11.0,"52,32",11.0,"19,07"
СТРУМЯНИ,СУ Св Паисий Хилендарски,29.0,14.28,29.0,16.62,29.0,15.47,28.0,13.87,25.0,"20,26",26.0,"11,27",34.0,"20,1",34.0,"17,39",25.0,"19,26",25.0,"16,55",30.0,"23,95",30.0,"18,7"
САТОВЧА,СУ Христо Ботев,20.0,55.28,20.0,48.01,39.0,56.06,39.0,38.37,28.0,"50,14",29.0,"30,17",25.0,"54,28",25.0,"37,23",34.0,"52,03",34.0,"34,68",27.0,"47,74",27.0,"34,91"
САТОВЧА,СУ Свети Климент Охридски,13.0,48.54,13.0,26.15,13.0,53.12,13.0,36.75,17.0,"50,94",17.0,"34,78",18.0,"63,28",18.0,"43,56",16.0,"49,53",16.0,"24,72",18.0,"55,33",18.0,"36,46"
САТОВЧА,Основно училище Братя Миладинови,5.0,47.4,5.0,35.05,3.0,39.17,3.0,13.92,7.0,"53,14",7.0,"18,64",3.0,"63,83",3.0,"32,83",4.0,"44,50",4.0,"22,06",1.0,"48,5",1.0,"25,5"
САТОВЧА,Основно училище Св св Кирил и Методий,5.0,43.0,5.0,28.55,8.0,47.56,8.0,36.72,4.0,"60,25",4.0,"41,06",7.0,"50,64",7.0,"33,18",5.0,"43,10",5.0,"25,15",,,,
САТОВЧА,СУ Св Св Кирил и Методий,26.0,57.85,26.0,46.88,37.0,49.35,37.0,24.42,18.0,"56,39",18.0,"26,64",37.0,"46,26",37.0,"33,74",23.0,"52,78",23.0,"37,74",23.0,"43,93",23.0,"42,35"
САТОВЧА,Основно училище Светлина,3.0,50.0,3.0,27.25,,,,,6.0,"47,75",6.0,"13,67",,,,,,,,,,,,
САТОВЧА,ОУ Св Св Кирил и Методий,13.0,50.77,13.0,25.75,13.0,58.65,13.0,42.46,19.0,"47,84",19.0,"31,49",17.0,"53,24",17.0,"33,72",15.0,"44,37",15.0,"29,28",15.0,"54,4",15.0,"40,07"
САТОВЧА,СУ Христо Смирненски,8.0,55.56,7.0,64.18,36.0,51.86,36.0,29.21,26.0,"52,13",26.0,"34,03",21.0,"48,52",21.0,"49,21",28.0,"56,07",28.0,"36,98",32.0,"53,63",32.0,"51,53"
САТОВЧА,Основно училище Стефка Събчева,5.0,37.4,5.0,33.25,4.0,50.0,4.0,22.06,9.0,"47,28",9.0,"51,25",9.0,"52,17",9.0,"34,22",5.0,"45,30",5.0,"34,00",7.0,"64,36",7.0,"56,89"
САТОВЧА,Основно училище Св Св Кирил и Методий,1.0,17.0,1.0,19.0,,,,,4.0,"23,75",4.0,"9,75",,,,,,,,,,,,
СИМИТЛИ,СУ Св св Кирил и Методий,19.0,39.0,19.0,24.38,28.0,38.18,28.0,16.22,20.0,"35,58",19.0,"19,87",21.0,"34,24",21.0,"15,81",25.0,"32,70",24.0,"16,22",28.0,"46,95",28.0,"24,39"
СИМИТЛИ,ОУ Св Паисий Хилендарски,23.0,53.35,23.0,21.92,22.0,53.07,21.0,20.04,24.0,"51,31",24.0,"14,67",19.0,"51,68",19.0,"32,12",21.0,"44,14",21.0,"18,51",16.0,"41,66",16.0,"15,36"
САНДАНСКИ,Спортно училище,19.0,38.58,19.0,25.54,16.0,46.16,16.0,20.88,26.0,"37,46",26.0,"14,55",13.0,"30,65",13.0,"15,6",16.0,"34,84",15.0,"23,42",21.0,"34,86",21.0,"17,94"
АЙТОС,Основно училище Атанас Манчев,33.0,16.29,33.0,24.01,27.0,13.93,21.0,12.95,35.0,"12,74",34.0,"10,06",39.0,"15,82",39.0,"14,49",40.0,"9,73",38.0,"10,53",34.0,"12,32",34.0,"11,53"
АЙТОС,Основно училище Св Св Кирил и Методий,12.0,35.25,12.0,42.73,14.0,24.46,14.0,30.75,16.0,"42,22",14.0,"51,02",,,,,15.0,"38,27",15.0,"39,05",14.0,35,14.0,"33,18"
АЙТОС,Основно училище Христо Ботев,20.0,16.2,20.0,21.69,24.0,31.04,24.0,17.15,19.0,"33,37",19.0,"20,45",22.0,"29,95",22.0,"16,27",16.0,"32,69",17.0,"14,60",22.0,"29,27",22.0,"33,59"
АЙТОС,Основно училище Христо Ботев,14.0,36.79,14.0,41.82,28.0,42.82,28.0,33.91,24.0,"47,9",24.0,"38,65",21.0,"51,24",21.0,"45,42",18.0,"23,83",18.0,"28,69",17.0,"21,91",18.0,"24,31"
АЙТОС,Основно училище Светлина,8.0,54.56,8.0,41.22,8.0,27.06,8.0,19.81,9.0,"48,33",10.0,"19,35",14.0,"48,71",14.0,"36,66",9.0,"42,56",9.0,"20,64",17.0,"42,71",17.0,"23,63"
АЙТОС,СУ Христо Ботев,108.0,58.94,108.0,44.9,107.0,57.87,107.0,35.6,110.0,"55,32",110.0,"34,33",98.0,"57,19",98.0,"28,94",99.0,"50,66",99.0,"36,14",89.0,"51,9",88.0,"29,48"
АЙТОС,СУ Никола Йонков Вапцаров,57.0,49.98,57.0,45.08,69.0,42.34,70.0,35.03,73.0,"46,97",73.0,"30,01",61.0,"45,41",61.0,"28,16",63.0,"51,02",63.0,"31,44",66.0,"46,51",66.0,"27,97"
БУРГАС,Частно основно училище Д-р Мария Монтесори,,,,,12.0,74.08,12.0,54.96,3.0,"65,5",3.0,"40,67",,,,,,,,,,,,
