Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21
СОЗОПОЛ,СУ Св св Кирил и Методий,28.0,35.16,28.0,18.38,29.0,28.34,28.0,17.87,25.0,"22,16",25.0,"17,28",19.0,"23,26",19.0,"14,74"
СРЕДЕЦ,СУ Свети Свети Кирил и Методий,24.0,28.83,24.0,17.02,19.0,31.18,19.0,14.11,13.0,"25,54",13.0,"16,02",15.0,"24,8",15.0,"14,4"
СРЕДЕЦ,ПГ по механизация на селското стопанство и електроника Никола Йонков Вапцаров,42.0,37.11,38.0,44.57,56.0,21.87,57.0,17.04,33.0,"18,45",34.0,"14,4",38.0,"20,39",37.0,"16,08"
СУНГУРЛАРЕ,СУ Христо Ботев,40.0,25.9,40.0,21.48,47.0,25.4,46.0,18.39,56.0,"17,59",56.0,"25,41",59.0,"24,49",57.0,"17,3"
ЦАРЕВО,СУ Никола Йонков Вапцаров,50.0,49.8,49.0,38.06,33.0,40.06,32.0,33.43,48.0,"40,23",48.0,"27,45",49.0,"36,98",49.0,"20,71"
ВЕЛИКО ТЪРНОВО,Профилирана Хуманитарна гимназия Свети свети Кирил и Методий,29.0,45.09,29.0,20.59,24.0,47.06,24.0,22.9,32.0,33,33.0,"22,55",5.0,"42,6",5.0,"16,2"
ВЕЛИКО ТЪРНОВО,ПМГ Васил Друмев,133.0,73.05,132.0,63.09,131.0,71.07,130.0,74.0,128.0,"67,84",128.0,"63,95",127.0,"66,31",125.0,"53,69"
ВЕЛИКО ТЪРНОВО,Профилирана езикова гимназия Проф д-р Асен Златаров,128.0,65.54,128.0,35.46,128.0,65.55,128.0,32.96,128.0,"61,91",128.0,"33,25",126.0,"59,08",125.0,"25,78"
ВЕЛИКО ТЪРНОВО,СУ Емилиян Станев,79.0,61.8,78.0,39.38,75.0,67.75,73.0,33.29,79.0,"54,59",78.0,"35,04",70.0,"51,99",63.0,"20,87"
ВЕЛИКО ТЪРНОВО,СУ Вела Благоева,11.0,50.0,11.0,26.59,15.0,41.07,15.0,19.47,15.0,"43,8",15.0,"23,07",10.0,"37,5",9.0,17
ВЕЛИКО ТЪРНОВО,СУ Владимир Комаров,11.0,30.91,11.0,16.36,11.0,25.73,8.0,16.5,7.0,"27,71",8.0,"23,13",7.0,"44,57",7.0,"17,14"
ВЕЛИКО ТЪРНОВО,ПГ по строителство архитектура и геодезия Ангел Попов,104.0,54.8,104.0,29.34,102.0,51.84,101.0,27.09,99.0,"45,09",99.0,"30,06",96.0,"45,5",96.0,"24,66"
ВЕЛИКО ТЪРНОВО,Старопрестолна професионална гимназия по икономика,69.0,51.49,69.0,25.78,75.0,51.64,75.0,23.75,74.0,"43,57",74.0,"22,39",65.0,"47,42",65.0,"20,8"
ВЕЛИКО ТЪРНОВО,ПГ по електроника Александър Степанович Попов,22.0,30.73,22.0,19.86,31.0,30.6,30.0,21.52,24.0,"26,21",25.0,"20,66",36.0,"24,14",35.0,"16,43"
ВЕЛИКО ТЪРНОВО,ПГ по моден дизайн,16.0,24.69,15.0,15.7,12.0,34.75,12.0,15.69,12.0,"17,67",11.0,"22,57",17.0,"27,41",16.0,21
ВЕЛИКО ТЪРНОВО,ПГ по туризъм Д-р Васил Берон,91.0,44.59,91.0,24.51,73.0,47.91,73.0,22.98,79.0,"38,82",77.0,"23,77",76.0,"41,05",76.0,"20,07"
ВЕЛИКО ТЪРНОВО,Частна профилирана гимназия АК - Аркус ЕООД,48.0,70.64,48.0,53.8,55.0,68.42,54.0,53.57,53.0,"60,87",53.0,"58,28",53.0,"62,98",53.0,"37,87"
ВЕЛИКО ТЪРНОВО,Спортно училище Георги Живков,38.0,40.18,38.0,22.71,42.0,45.67,37.0,33.77,33.0,"29,15",34.0,"19,35",37.0,"35,08",36.0,"21,14"
ГОРНА ОРЯХОВИЦА,СУ Георги Измирлиев,54.0,60.23,54.0,26.14,53.0,61.7,53.0,37.06,52.0,"56,42",52.0,"23,65",50.0,"53,08",50.0,"19,82"
ГОРНА ОРЯХОВИЦА,СУ Вичо Грънчаров,43.0,44.21,42.0,17.57,22.0,43.95,22.0,18.68,25.0,"40,36",25.0,"33,2",21.0,"37,57",21.0,"20,95"
ГОРНА ОРЯХОВИЦА,Професионална техническа гимназия Васил Левски,16.0,24.06,16.0,18.38,16.0,32.53,16.0,19.75,13.0,"21,92",13.0,"19,38",11.0,"27,09",12.0,17
ГОРНА ОРЯХОВИЦА,ПГ по електротехника и електроника Михайло Василиевич Ломоносов,74.0,48.41,74.0,32.6,75.0,46.89,75.0,30.4,75.0,"37,16",75.0,"24,55",93.0,"42,37",92.0,"23,1"
ГОРНА ОРЯХОВИЦА,ПГ по хранителни технологии Проф д-р Асен Златаров,36.0,22.29,35.0,14.44,36.0,18.83,36.0,21.68,26.0,"16,12",25.0,"23,08",39.0,"17,51",34.0,"16,18"
ГОРНА ОРЯХОВИЦА,ПГ по лека промишленост и икономика Атанас Буров,60.0,47.16,60.0,63.54,44.0,40.59,43.0,26.88,49.0,"33,96",49.0,"20,83",39.0,"32,77",39.0,"20,46"
ГОРНА ОРЯХОВИЦА,ПГ по железопътен транспорт Никола Йонков Вапцаров,10.0,31.65,10.0,18.8,10.0,28.45,10.0,23.55,18.0,"20,78",18.0,"20,5",6.0,32,6.0,"15,67"
ЕЛЕНА,ОУ Отец Паисий,11.0,27.09,10.0,31.2,12.0,24.33,12.0,29.33,16.0,"9,25",16.0,"32,5",,,,
ЕЛЕНА,СУ Иван Николов Момчилов,33.0,43.85,32.0,24.48,53.0,46.34,51.0,29.58,41.0,"35,17",41.0,"24,26",46.0,"37,74",45.0,"24,22"
ЗЛАТАРИЦА,СУ Св св Кирил и Методий,17.0,31.62,17.0,16.53,21.0,23.33,21.0,14.15,16.0,"22,94",16.0,"16,27",11.0,"22,18",10.0,"14,8"
ЗЛАТАРИЦА,ПГ по механизация на селското стопанство Никола Златарски,11.0,15.91,10.0,25.6,,,,,9.0,"20,44",10.0,"21,2",13.0,"16,69",13.0,24
ЛЯСКОВЕЦ,ОУ Петко Рачев Славейков,6.0,23.08,5.0,11.3,5.0,10.5,3.0,9.33,3.0,14,3.0,20,6.0,"18,83",6.0,14
ЛЯСКОВЕЦ,СУ Максим Райкович,25.0,38.96,25.0,33.34,42.0,41.51,42.0,23.68,17.0,"31,76",17.0,"28,44",39.0,"35,18",39.0,"14,36"
ПАВЛИКЕНИ,СУ Бачо Киро,42.0,43.23,40.0,25.15,40.0,50.75,38.0,31.36,40.0,"32,48",39.0,"20,22",30.0,"38,73",30.0,"21,77"
ПАВЛИКЕНИ,ПГ по аграрни технологии Цанко Церковски,52.0,39.63,51.0,30.84,48.0,32.64,48.0,17.42,50.0,"30,28",50.0,"18,94",59.0,"32,05",59.0,"16,07"
ПОЛСКИ ТРЪМБЕШ,СУ Цанко Церковски,50.0,28.51,47.0,33.5,54.0,28.67,54.0,18.58,55.0,"35,35",55.0,"33,76",52.0,"26,9",53.0,"25,13"
