;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Общо;Общо;Работна сила;Работна сила;Работна сила;Заети;Заети;Заети;Безработни;Безработни;Безработни;Лица извън работната сила;Лица извън работната сила;Лица извън работната сила;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Пазарджик;197569;94915;102654;99751;52776;46975;84399;44520;39879;15352;8256;7096;97818;42139;55679;
Батак;4355;2159;2196;2229;1212;1017;1698;915;783;531;297;234;2126;947;1179;
Белово;6568;3133;3435;2748;1502;1246;2680;1474;1206;68;28;40;3820;1631;2189;
Брацигово;6503;3123;3380;2629;1430;1199;2402;1302;1100;227;128;99;3874;1693;2181;
Велинград;27513;13017;14496;13465;6925;6540;10596;5389;5207;2869;1536;1333;14048;6092;7956;
Лесичово;4067;2024;2043;2194;1228;966;1107;616;491;1087;612;475;1873;796;1077;
Пазарджик;78777;37520;41257;40764;21285;19479;36600;19067;17533;4164;2218;1946;38013;16235;21778;
Панагюрище;19443;9528;9915;10343;5522;4821;9397;5020;4377;946;502;444;9100;4006;5094;
Пещера;12698;5979;6719;6329;3338;2991;5687;3026;2661;642;312;330;6369;2641;3728;
Ракитово;11125;5436;5689;5369;2823;2546;3865;2014;1851;1504;809;695;5756;2613;3143;
Септември;18568;9105;9463;9368;5139;4229;7214;3979;3235;2154;1160;994;9200;3966;5234;
Стрелча;3877;1838;2039;1874;1021;853;1580;858;722;294;163;131;2003;817;1186;
Сърница;4075;2053;2022;2439;1351;1088;1573;860;713;866;491;375;1636;702;934;
Пловдив;541954;254959;286995;291663;149606;142057;268422;137077;131345;23241;12529;10712;250291;105353;144938;
Асеновград;49607;23425;26182;24621;12615;12006;22181;11327;10854;2440;1288;1152;24986;10810;14176;
Брезово;5467;2635;2832;2091;1185;906;1751;983;768;340;202;138;3376;1450;1926;
Калояново;9314;4545;4769;4148;2239;1909;3699;1988;1711;449;251;198;5166;2306;2860;
Карлово;39904;18885;21019;19046;10152;8894;16788;8759;8029;2258;1393;865;20858;8733;12125;
Кричим;6089;2975;3114;2609;1433;1176;2301;1277;1024;308;156;152;3480;1542;1938;
Куклен;5389;2568;2821;2743;1421;1322;2487;1285;1202;256;136;120;2646;1147;1499;
Лъки;2061;976;1085;873;436;437;838;420;418;35;16;19;1188;540;648;
Марица;27119;13189;13930;14128;7486;6642;12868;6803;6065;1260;683;577;12991;5703;7288;
Перущица;3636;1718;1918;1645;867;778;1488;791;697;157;76;81;1991;851;1140;
Пловдив;272267;125945;146322;160647;80640;80007;150721;75571;75150;9926;5069;4857;111620;45305;66315;
