;процент;процент;процент;процент;процент;процент;процент;процент;процент;
;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на безработица;Коефициенти на безработица;Коефициенти на безработица;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Стрелча;48.3;55.5;41.8;40.8;46.7;35.4;15.7;16.0;15.4;
Сърница;59.9;65.8;53.8;38.6;41.9;35.3;35.5;36.3;34.5;
Пловдив;53.8;58.7;49.5;49.5;53.8;45.8;8.0;8.4;7.5;
Асеновград;49.6;53.9;45.9;44.7;48.4;41.5;9.9;10.2;9.6;
Брезово;38.2;45.0;32.0;32.0;37.3;27.1;16.3;17.0;15.2;
Калояново;44.5;49.3;40.0;39.7;43.7;35.9;10.8;11.2;10.4;
Карлово;47.7;53.8;42.3;42.1;46.4;38.2;11.9;13.7;9.7;
Кричим;42.8;48.2;37.8;37.8;42.9;32.9;11.8;10.9;12.9;
Куклен;50.9;55.3;46.9;46.1;50.0;42.6;9.3;9.6;9.1;
Лъки;42.4;44.7;40.3;40.7;43.0;38.5;4.0;3.7;4.3;
Марица;52.1;56.8;47.7;47.5;51.6;43.5;8.9;9.1;8.7;
Перущица;45.2;50.5;40.6;40.9;46.0;36.3;9.5;8.8;10.4;
Пловдив;59.0;64.0;54.7;55.4;60.0;51.4;6.2;6.3;6.1;
Първомай;44.0;49.9;38.7;38.3;43.1;34.0;12.9;13.7;12.0;
Раковски;53.1;56.7;49.6;49.0;51.9;46.1;7.7;8.5;6.9;
Родопи;52.1;56.8;47.8;48.1;52.1;44.5;7.7;8.3;6.9;
Садово;44.6;49.3;40.1;37.9;42.2;33.8;15.0;14.4;15.7;
Сопот;54.2;59.6;49.4;50.1;54.3;46.5;7.5;8.8;6.0;
Стамболийски;50.1;55.4;45.3;44.2;48.6;40.1;11.9;12.3;11.4;
Съединение;44.4;48.7;40.4;39.5;43.2;35.9;11.1;11.2;11.0;
Хисаря;42.1;46.5;38.2;38.9;42.3;35.9;7.5;9.0;6.0;
Смолян;50.0;54.0;46.3;44.9;48.1;41.9;10.2;10.9;9.6;
Баните;39.9;46.3;34.3;33.8;38.0;30.2;15.2;18.0;12.0;
Борино;51.0;59.9;42.7;39.8;48.3;31.8;22.0;19.4;25.5;
Девин;49.1;55.0;43.8;43.0;48.3;38.3;12.4;12.3;12.6;
Доспат;49.8;53.4;46.4;45.7;48.9;42.6;8.3;8.4;8.2;
Златоград;44.4;45.5;43.5;40.8;41.1;40.6;8.1;9.8;6.6;
Мадан;49.5;52.2;47.1;44.8;47.2;42.6;9.6;9.7;9.5;
Неделино;47.2;53.2;41.7;35.4;41.3;29.9;25.0;22.3;28.2;
Рудозем;50.0;51.7;48.4;46.7;48.0;45.4;6.7;7.2;6.2;
Смолян;53.8;58.0;49.9;49.2;52.5;46.2;8.5;9.4;7.5;
Чепеларе;48.4;53.8;43.5;44.0;47.6;40.8;9.0;11.6;6.1;
Хасково;47.6;52.1;43.5;41.2;45.0;37.8;13.3;13.6;13.1;
Димитровград;46.2;51.1;41.8;41.3;45.8;37.3;10.5;10.3;10.8;
Ивайловград;43.2;48.7;38.0;34.9;40.1;29.9;19.2;17.5;21.4;
Любимец;51.0;56.5;45.7;35.0;39.4;30.7;31.4;30.2;32.9;
Маджарово;36.5;39.4;33.5;28.9;32.3;25.3;20.9;18.0;24.4;
Минерални бани;49.8;54.6;45.0;36.4;39.3;33.5;26.9;28.0;25.5;
Свиленград;55.7;59.1;52.3;46.9;49.5;44.4;15.7;16.2;15.1;
Симеоновград;44.0;50.2;38.1;31.7;37.7;26.0;28.0;24.9;31.8;
Стамболово;35.4;41.6;29.4;27.6;33.1;22.2;22.1;20.5;24.4;
Тополовград;39.6;43.4;36.0;33.0;36.4;29.9;16.7;16.3;17.2;
Харманли;44.7;47.5;42.1;38.8;40.9;36.7;13.4;13.9;12.7;
Хасково;49.1;53.8;45.0;44.8;48.7;41.3;8.8;9.5;8.2;
