;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;
;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;
;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;
Мизия;20946.37;209.46;100.00;1358.03;13.58;6.48;556.15;5.56;2.66;17876.01;178.76;85.34;771.47;7.71;3.68;333.48;3.33;1.59;7.28;0.07;0.03;37.39;0.37;0.18;6.56;0.07;0.03;20946.37;209.46;100.00;1371.16;13.71;6.55;556.29;5.56;2.66;17773.21;177.73;84.85;863.93;8.64;4.12;333.48;3.33;1.59;7.28;0.07;0.03;41.01;0.41;0.20;-;-;0.00;20946.37;209.46;100.00;1366.53;13.67;6.52;556.29;5.56;2.66;17777.84;177.78;84.87;863.93;8.64;4.12;333.48;3.33;1.59;7.28;0.07;0.03;41.01;0.41;0.20;0.00;0.00;0.00;20946.37;209.46;100.00;1366.45;13.66;6.52;556.37;5.56;2.66;17773.84;177.74;84.85;867.92;8.68;4.14;333.48;3.33;1.59;7.28;0.07;0.03;41.01;0.41;0.20;-;-;0.00;
Оряхово;32672.59;326.73;100.00;2052.65;20.53;6.28;827.54;8.28;2.53;24669.95;246.70;75.51;1510.69;15.11;4.62;1587.63;15.88;4.86;5.31;0.05;0.02;178.56;1.79;0.55;1840.25;18.40;5.63;32672.56;326.73;100.00;2110.54;21.11;6.46;865.87;8.66;2.65;26029.87;260.30;79.67;1656.74;16.57;5.07;1825.68;18.26;5.59;5.31;0.05;0.02;178.56;1.79;0.55;-;-;0.00;32672.56;326.73;100.00;2068.62;20.69;6.33;866.64;8.67;2.65;26071.02;260.71;79.79;1656.74;16.57;5.07;1825.68;18.26;5.59;5.31;0.05;0.02;178.56;1.79;0.55;0.00;0.00;0.00;32672.57;326.73;100.00;2120.62;21.21;6.49;866.58;8.67;2.65;25993.28;259.93;79.56;1682.54;16.83;5.15;1825.68;18.26;5.59;5.31;0.05;0.02;178.56;1.79;0.55;-;-;0.00;
Роман;30182.83;301.83;100.00;1093.05;10.93;3.62;680.34;6.80;2.25;18666.78;186.67;61.85;9234.39;92.34;30.59;356.09;3.56;1.18;11.33;0.11;0.04;70.86;0.71;0.23;70.00;0.70;0.23;30182.83;301.83;100.00;1164.19;11.64;3.86;680.34;6.80;2.25;18077.86;180.78;59.89;9823.57;98.24;32.55;354.96;3.55;1.18;11.33;0.11;0.04;70.58;0.71;0.23;0.00;0.00;0.00;30182.83;301.83;100.00;1192.17;11.92;3.95;680.93;6.81;2.26;17946.79;179.47;59.46;9927.27;99.27;32.89;354.48;3.54;1.17;11.33;0.11;0.04;69.85;0.70;0.23;0.00;0.00;0.00;30182.83;301.83;100.00;1186.73;11.87;3.93;680.93;6.81;2.26;17960.31;179.60;59.51;9914.37;99.14;32.85;354.48;3.54;1.17;11.33;0.11;0.04;74.67;0.75;0.25;-;-;0.00;
Хайредин;18918.98;189.19;100.00;1048.16;10.48;5.54;476.71;4.77;2.52;15148.40;151.48;80.07;394.24;3.94;2.08;168.10;1.68;0.89;0.06;0.00;0.00;22.32;0.22;0.12;1660.99;16.61;8.78;18918.98;189.19;100.00;1135.09;11.35;6.00;520.50;5.21;2.75;16599.17;165.99;87.74;437.27;4.37;2.31;204.56;2.05;1.08;0.06;0.00;0.00;22.32;0.22;0.12;-;-;0.00;18918.98;189.19;100.00;1135.09;11.35;6.00;520.50;5.21;2.75;16599.17;165.99;87.74;437.27;4.37;2.31;204.56;2.05;1.08;0.06;0.00;0.00;22.32;0.22;0.12;0.00;0.00;0.00;18920.93;189.21;100.00;1137.98;11.38;6.01;521.59;5.22;2.76;16597.05;165.97;87.72;437.37;4.37;2.31;204.56;2.05;1.08;0.06;0.00;0.00;22.32;0.22;0.12;-;-;0.00;
Ловеч;413461.49;4134.61;100.00;14893.35;148.93;3.60;10643.06;106.43;2.57;202828.09;2028.28;49.06;148113.76;1481.14;35.82;4610.39;46.10;1.12;27636.05;276.36;6.68;654.31;6.54;0.16;4082.47;40.82;0.99;413461.24;4134.61;100.00;14879.63;148.80;3.60;10864.68;108.65;2.63;201559.58;2015.60;48.75;149166.11;1491.66;36.08;4611.19;46.11;1.12;27635.96;276.36;6.68;661.84;6.62;0.16;4082.26;40.82;0.99;413461.24;4134.61;100.00;14890.21;148.90;3.60;10865.18;108.65;2.63;198748.32;1987.48;48.07;150245.06;1502.45;36.34;4617.49;46.17;1.12;29335.17;293.35;7.10;677.58;6.78;0.16;4082.24;40.82;0.99;413460.80;4134.61;100.00;14930.74;149.31;3.61;10864.95;108.65;2.63;197379.57;1973.80;47.74;151557.63;1515.58;36.66;4625.22;46.25;1.12;29337.02;293.37;7.10;683.68;6.84;0.17;4081.99;40.82;0.99;
Априлци;23821.44;238.21;100.00;1026.15;10.26;4.31;303.45;3.03;1.27;10683.13;106.83;44.85;8197.64;81.98;34.41;226.27;2.26;0.95;3383.14;33.83;14.20;1.46;0.01;0.01;0.19;0.00;0.00;23821.44;238.21;100.00;1027.48;10.27;4.31;304.05;3.04;1.28;9745.89;97.46;40.91;9133.15;91.33;38.34;226.25;2.26;0.95;3383.15;33.83;14.20;1.46;0.01;0.01;0.01;0.00;0.00;23821.44;238.21;100.00;1030.35;10.30;4.33;301.65;3.02;1.27;8323.00;83.23;34.94;9132.57;91.33;38.34;226.06;2.26;0.95;4806.35;48.06;20.18;1.46;0.01;0.01;0.01;0.00;0.00;23821.26;238.21;100.00;1036.06;10.36;4.35;302.25;3.02;1.27;8316.89;83.17;34.91;9132.21;91.32;38.34;226.03;2.26;0.95;4806.34;48.06;20.18;1.46;0.01;0.01;0.00;0.00;0.00;
Летница;17768.46;177.68;100.00;779.47;7.79;4.39;670.64;6.71;3.77;13065.57;130.66;73.53;2871.36;28.71;16.16;347.67;3.48;1.96;6.83;0.07;0.04;26.89;0.27;0.15;0.03;0.00;0.00;17768.46;177.68;100.00;776.66;7.77;4.37;766.03;7.66;4.31;12958.46;129.58;72.93;2885.98;28.86;16.24;347.67;3.48;1.96;6.73;0.07;0.04;26.89;0.27;0.15;0.03;0.00;0.00;17768.46;177.68;100.00;779.03;7.79;4.38;779.41;7.79;4.39;12957.37;129.57;72.92;2871.32;28.71;16.16;347.67;3.48;1.96;6.73;0.07;0.04;26.89;0.27;0.15;0.03;0.00;0.00;17768.43;177.68;100.00;778.87;7.79;4.38;779.31;7.79;4.39;12864.04;128.64;72.40;2964.90;29.65;16.69;347.67;3.48;1.96;6.73;0.07;0.04;26.89;0.27;0.15;0.01;0.00;0.00;
Ловеч;94627.21;946.27;100.00;4677.69;46.78;4.94;3667.74;36.68;3.88;62230.81;622.31;65.76;22469.87;224.70;23.75;1412.21;14.12;1.49;28.01;0.28;0.03;140.70;1.41;0.15;0.18;0.00;0.00;94627.21;946.27;100.00;4679.12;46.79;4.94;3791.48;37.91;4.01;62088.99;620.89;65.61;22487.45;224.87;23.76;1411.31;14.11;1.49;28.00;0.28;0.03;140.70;1.41;0.15;0.17;0.00;0.00;94627.21;946.27;100.00;4674.96;46.75;4.94;3791.47;37.91;4.01;60908.46;609.08;64.37;23672.21;236.72;25.02;1411.52;14.12;1.49;28.00;0.28;0.03;140.43;1.40;0.15;0.17;0.00;0.00;94627.15;946.27;100.00;4640.81;46.41;4.90;3790.29;37.90;4.01;59622.37;596.22;63.01;24991.00;249.91;26.41;1412.58;14.13;1.49;27.86;0.28;0.03;142.14;1.42;0.15;0.12;0.00;0.00;
Луковит;45326.77;453.27;100.00;1626.68;16.27;3.59;1771.41;17.71;3.91;29777.92;297.78;65.70;11166.27;111.66;24.64;773.28;7.73;1.71;13.93;0.14;0.03;196.90;1.97;0.43;0.36;0.00;0.00;45326.77;453.27;100.00;1620.87;16.21;3.58;1769.67;17.70;3.90;29760.58;297.61;65.66;11183.67;111.84;24.67;773.25;7.73;1.71;13.93;0.14;0.03;204.42;2.04;0.45;0.36;0.00;0.00;45326.77;453.27;100.00;1620.88;16.21;3.58;1769.62;17.70;3.90;29758.94;297.59;65.65;11183.67;111.84;24.67;773.25;7.73;1.71;13.93;0.14;0.03;206.15;2.06;0.45;0.34;0.00;0.00;45326.78;453.27;100.00;1626.91;16.27;3.59;1769.68;17.70;3.90;29810.73;298.11;65.77;11123.76;111.24;24.54;773.29;7.73;1.71;14.88;0.15;0.03;207.20;2.07;0.46;0.34;0.00;0.00;
Тетевен;69754.45;697.54;100.00;1340.38;13.40;1.92;727.97;7.28;1.04;16709.24;167.09;23.95;37645.58;376.46;53.97;375.33;3.75;0.54;12923.23;129.23;18.53;32.71;0.33;0.05;0.01;0.00;0.00;69754.45;697.54;100.00;1338.28;13.38;1.92;727.95;7.28;1.04;16711.37;167.11;23.96;37645.18;376.45;53.97;375.71;3.76;0.54;12923.23;129.23;18.53;32.71;0.33;0.05;0.01;0.00;0.00;69754.45;697.54;100.00;1338.41;13.38;1.92;718.27;7.18;1.03;16633.03;166.33;23.85;37644.70;376.45;53.97;372.20;3.72;0.53;13015.12;130.15;18.66;32.71;0.33;0.05;0.01;0.00;0.00;69754.44;697.54;100.00;1348.36;13.48;1.93;718.14;7.18;1.03;16634.69;166.35;23.85;37634.82;376.35;53.95;372.20;3.72;0.53;13016.17;130.16;18.66;30.07;0.30;0.04;-;-;0.00;
Троян;89426.07;894.26;100.00;3066.58;30.67;3.43;1497.49;14.97;1.67;33351.06;333.51;37.29;39269.05;392.69;43.91;923.91;9.24;1.03;11279.94;112.80;12.61;37.80;0.38;0.04;0.24;0.00;0.00;89425.82;894.26;100.00;3068.76;30.69;3.43;1501.26;15.01;1.68;33345.76;333.46;37.29;39268.14;392.68;43.91;923.95;9.24;1.03;11279.94;112.80;12.61;37.80;0.38;0.04;0.22;0.00;0.00;89425.82;894.26;100.00;3076.27;30.76;3.44;1498.48;14.98;1.68;33242.31;332.42;37.17;39182.42;391.82;43.82;924.25;9.24;1.03;11464.07;114.64;12.82;37.80;0.38;0.04;0.22;0.00;0.00;89425.59;894.26;100.00;3109.08;31.09;3.48;1498.43;14.98;1.68;33226.05;332.26;37.15;39164.77;391.65;43.80;925.38;9.25;1.03;11464.07;114.64;12.82;37.80;0.38;0.04;0.01;0.00;0.00;
Угърчин;52319.68;523.20;100.00;1209.24;12.09;2.31;1149.39;11.49;2.20;25039.73;250.40;47.86;20399.85;204.00;38.99;403.40;4.03;0.77;0.36;0.00;0.00;36.25;0.36;0.07;4081.45;40.81;7.80;52319.68;523.20;100.00;1199.94;12.00;2.29;1149.49;11.49;2.20;24980.39;249.80;47.75;20468.40;204.68;39.12;403.40;4.03;0.77;0.36;0.00;0.00;36.25;0.36;0.07;4081.45;40.81;7.80;52319.68;523.20;100.00;1199.94;12.00;2.29;1150.66;11.51;2.20;24979.53;249.80;47.74;20468.10;204.68;39.12;403.40;4.03;0.77;0.36;0.00;0.00;36.25;0.36;0.07;4081.45;40.81;7.80;52319.74;523.20;100.00;1205.78;12.06;2.30;1150.82;11.51;2.20;24966.47;249.66;47.72;20468.98;204.69;39.12;403.58;4.04;0.77;0.36;0.00;0.00;42.23;0.42;0.08;4081.51;40.82;7.80;
Ябланица;20417.41;204.17;100.00;1167.16;11.67;5.72;854.97;8.55;4.19;11970.61;119.71;58.63;6094.13;60.94;29.85;148.32;1.48;0.73;0.61;0.01;0.00;181.60;1.82;0.89;0.00;0.00;0.00;20417.41;204.17;100.00;1168.52;11.69;5.72;854.76;8.55;4.19;11968.14;119.68;58.62;6094.14;60.94;29.85;149.64;1.50;0.73;0.61;0.01;0.00;181.60;1.82;0.89;0.00;0.00;0.00;20417.41;204.17;100.00;1170.37;11.70;5.73;855.62;8.56;4.19;11945.69;119.46;58.51;6090.08;60.90;29.83;159.15;1.59;0.78;0.61;0.01;0.00;195.89;1.96;0.96;0.00;0.00;0.00;20417.40;204.17;100.00;1184.88;11.85;5.80;856.02;8.56;4.19;11938.33;119.38;58.47;6077.19;60.77;29.76;164.49;1.64;0.81;0.61;0.01;0.00;195.89;1.96;0.96;-;-;0.00;
Монтана;363716.83;3637.17;100.00;16242.87;162.43;4.47;9563.08;95.63;2.63;242695.05;2426.95;66.73;84425.26;844.25;23.21;9974.15;99.74;2.74;283.12;2.83;0.08;426.04;4.26;0.12;107.26;1.07;0.03;363716.83;3637.17;100.00;15956.98;159.57;4.39;9842.24;98.42;2.71;242701.05;2427.01;66.73;84425.83;844.26;23.21;10005.59;100.06;2.75;283.17;2.83;0.08;401.22;4.01;0.11;100.75;1.01;0.03;363716.83;3637.17;100.00;16060.45;160.60;4.42;9775.49;97.75;2.69;242599.26;2425.99;66.70;84483.67;844.84;23.23;10005.47;100.05;2.75;283.17;2.83;0.08;408.53;4.09;0.11;100.79;1.01;0.03;363716.83;3637.17;100.00;16100.83;161.01;4.43;9786.38;97.86;2.69;242769.61;2427.70;66.75;84254.41;842.54;23.16;10008.26;100.08;2.75;283.13;2.83;0.08;413.52;4.14;0.11;100.71;1.01;0.03;
Берковица;46370.09;463.70;100.00;1407.04;14.07;3.03;1038.97;10.39;2.24;21022.67;210.23;45.34;21598.67;215.99;46.58;1117.39;11.17;2.41;163.98;1.64;0.35;21.24;0.21;0.05;0.13;0.00;0.00;46370.09;463.70;100.00;1405.98;14.06;3.03;1039.01;10.39;2.24;21023.77;210.24;45.34;21598.67;215.99;46.58;1117.31;11.17;2.41;163.98;1.64;0.35;21.24;0.21;0.05;0.13;0.00;0.00;46370.09;463.70;100.00;1412.36;14.12;3.05;1039.24;10.39;2.24;21006.46;210.06;45.30;21609.27;216.09;46.60;1117.34;11.17;2.41;163.98;1.64;0.35;21.24;0.21;0.05;0.18;0.00;0.00;46370.09;463.70;100.00;1414.42;14.14;3.05;1039.96;10.40;2.24;21037.05;210.37;45.37;21574.27;215.74;46.53;1119.04;11.19;2.41;163.98;1.64;0.35;21.24;0.21;0.05;0.12;0.00;0.00;
Бойчиновци;30758.36;307.58;100.00;1778.24;17.78;5.78;955.47;9.55;3.11;24726.54;247.27;80.39;2697.12;26.97;8.77;520.18;5.20;1.69;-;-;-;80.05;0.80;0.26;0.76;0.01;0.00;30758.36;307.58;100.00;1774.83;17.75;5.77;954.99;9.55;3.10;24730.42;247.30;80.40;2697.12;26.97;8.77;520.19;5.20;1.69;-;-;0.00;80.05;0.80;0.26;0.76;0.01;0.00;30758.36;307.58;100.00;1828.41;18.28;5.94;954.99;9.55;3.10;24679.79;246.80;80.24;2697.12;26.97;8.77;520.01;5.20;1.69;-;-;-;77.30;0.77;0.25;0.76;0.01;0.00;30758.36;307.58;100.00;1827.73;18.28;5.94;954.99;9.55;3.10;24743.51;247.44;80.44;2634.08;26.34;8.56;520.01;5.20;1.69;-;-;0.00;77.30;0.77;0.25;0.76;0.01;0.00;
Брусарци;19486.90;194.87;100.00;1140.21;11.40;5.85;580.09;5.80;2.98;15329.55;153.30;78.67;2112.96;21.13;10.84;309.53;3.10;1.59;-;-;-;14.56;0.15;0.07;0.00;0.00;0.00;19486.90;194.87;100.00;1134.51;11.35;5.82;580.09;5.80;2.98;15335.24;153.35;78.70;2112.96;21.13;10.84;309.53;3.10;1.59;-;-;0.00;14.56;0.15;0.07;0.00;0.00;0.00;19486.90;194.87;100.00;1134.51;11.35;5.82;580.09;5.80;2.98;15331.65;153.32;78.68;2112.53;21.13;10.84;309.53;3.10;1.59;-;-;-;18.58;0.19;0.10;0.00;0.00;0.00;19486.90;194.87;100.00;1134.51;11.35;5.82;580.09;5.80;2.98;15331.39;153.31;78.68;2112.79;21.13;10.84;309.53;3.10;1.59;-;-;0.00;18.58;0.19;0.10;0.00;0.00;0.00;
Вълчедръм;42951.85;429.52;100.00;2083.42;20.83;4.85;1126.27;11.26;2.62;37413.35;374.13;87.11;744.53;7.45;1.73;1532.73;15.33;3.57;34.51;0.35;0.08;17.04;0.17;0.04;0.00;0.00;0.00;42951.85;429.52;100.00;2083.60;20.84;4.85;1126.31;11.26;2.62;37413.14;374.13;87.10;744.53;7.45;1.73;1532.73;15.33;3.57;34.51;0.35;0.08;17.04;0.17;0.04;0.00;0.00;0.00;42951.85;429.52;100.00;2081.15;20.81;4.85;1126.34;11.26;2.62;37415.55;374.16;87.11;744.53;7.45;1.73;1532.73;15.33;3.57;34.51;0.35;0.08;17.04;0.17;0.04;0.00;0.00;0.00;42951.85;429.52;100.00;2068.72;20.69;4.82;1130.92;11.31;2.63;37423.66;374.24;87.13;744.53;7.45;1.73;1532.48;15.32;3.57;34.51;0.35;0.08;17.04;0.17;0.04;-;-;0.00;
Вършец;24053.77;240.54;100.00;715.94;7.16;2.98;341.68;3.42;1.42;10659.89;106.60;44.32;12071.19;120.71;50.18;150.69;1.51;0.63;-;-;-;8.51;0.09;0.04;105.87;1.06;0.44;24053.77;240.54;100.00;635.58;6.36;2.64;416.41;4.16;1.73;10659.43;106.59;44.32;12075.94;120.76;50.20;158.51;1.59;0.66;0.02;0.00;0.00;8.51;0.09;0.04;99.36;0.99;0.41;24053.77;240.54;100.00;637.96;6.38;2.65;416.47;4.16;1.73;10656.93;106.57;44.30;12076.01;120.76;50.20;158.50;1.59;0.66;0.02;0.00;0.00;8.51;0.09;0.04;99.37;0.99;0.41;24053.77;240.54;100.00;638.01;6.38;2.65;417.81;4.18;1.74;10687.92;106.88;44.43;12043.68;120.44;50.07;158.45;1.58;0.66;0.02;0.00;0.00;8.51;0.09;0.04;99.36;0.99;0.41;
Георги Дамяново;29801.07;298.01;100.00;582.68;5.83;1.96;399.95;4.00;1.34;12616.62;126.17;42.34;15988.13;159.88;53.65;199.01;1.99;0.67;8.02;0.08;0.03;6.23;0.06;0.02;0.44;0.00;0.00;29801.07;298.01;100.00;582.68;5.83;1.96;399.95;4.00;1.34;12616.62;126.17;42.34;15988.13;159.88;53.65;199.01;1.99;0.67;8.02;0.08;0.03;6.23;0.06;0.02;0.44;0.00;0.00;29801.07;298.01;100.00;582.68;5.83;1.96;399.95;4.00;1.34;12569.08;125.69;42.18;16035.67;160.36;53.81;199.01;1.99;0.67;8.02;0.08;0.03;6.23;0.06;0.02;0.44;0.00;0.00;29801.07;298.01;100.00;583.08;5.83;1.96;399.95;4.00;1.34;12580.24;125.80;42.21;16024.11;160.24;53.77;199.01;1.99;0.67;8.02;0.08;0.03;6.23;0.06;0.02;0.43;0.00;0.00;
Лом;32791.28;327.91;100.00;2449.33;24.49;7.47;1105.14;11.05;3.37;24865.75;248.66;75.83;1597.13;15.97;4.87;2702.17;27.02;8.24;53.18;0.53;0.16;18.57;0.19;0.06;0.00;0.00;0.00;32791.28;327.91;100.00;2443.64;24.44;7.45;1101.76;11.02;3.36;24872.82;248.73;75.85;1597.13;15.97;4.87;2702.56;27.03;8.24;53.18;0.53;0.16;20.20;0.20;0.06;0.00;0.00;0.00;32791.28;327.91;100.00;2446.11;24.46;7.46;1101.73;11.02;3.36;24870.37;248.70;75.84;1597.13;15.97;4.87;2702.56;27.03;8.24;53.18;0.53;0.16;20.20;0.20;0.06;0.00;0.00;0.00;32791.28;327.91;100.00;2471.16;24.71;7.54;1104.65;11.05;3.37;24842.63;248.43;75.76;1596.95;15.97;4.87;2702.55;27.03;8.24;53.14;0.53;0.16;20.20;0.20;0.06;0.00;0.00;0.00;
Медковец;19139.22;191.39;100.00;1007.32;10.07;5.26;494.97;4.95;2.59;17318.80;173.19;90.49;-;-;-;306.91;3.07;1.60;8.09;0.08;0.04;3.12;0.03;0.02;-;-;-;19139.22;191.39;100.00;1007.32;10.07;5.26;494.97;4.95;2.59;17318.80;173.19;90.49;-;-;0.00;306.91;3.07;1.60;8.09;0.08;0.04;3.12;0.03;0.02;-;-;0.00;19139.22;191.39;100.00;1007.32;10.07;5.26;494.97;4.95;2.59;17318.80;173.19;90.49;-;-;-;306.91;3.07;1.60;8.09;0.08;0.04;3.12;0.03;0.02;-;-;-;19139.22;191.39;100.00;1007.32;10.07;5.26;494.97;4.95;2.59;17318.80;173.19;90.49;-;-;0.00;306.91;3.07;1.60;8.09;0.08;0.04;3.12;0.03;0.02;-;-;0.00;
Монтана;67695.45;676.95;100.00;3492.15;34.92;5.16;2563.41;25.63;3.79;46860.43;468.60;69.22;11913.90;119.14;17.60;2710.05;27.10;4.00;13.68;0.14;0.02;141.82;1.42;0.21;0.00;0.00;0.00;67695.45;676.95;100.00;3280.03;32.80;4.85;2771.63;27.72;4.09;46847.92;468.48;69.20;11909.72;119.10;17.59;2730.63;27.31;4.03;13.70;0.14;0.02;141.82;1.42;0.21;0.00;0.00;0.00;67695.45;676.95;100.00;3321.18;33.21;4.91;2704.59;27.05;4.00;46867.73;468.68;69.23;11909.72;119.10;17.59;2730.63;27.31;4.03;13.70;0.14;0.02;147.87;1.48;0.22;0.04;0.00;0.00;67695.45;676.95;100.00;3346.92;33.47;4.94;2705.89;27.06;4.00;46859.13;468.59;69.22;11884.89;118.85;17.56;2732.03;27.32;4.04;13.70;0.14;0.02;152.85;1.53;0.23;0.03;0.00;0.00;
Чипровци;28542.66;285.43;100.00;457.87;4.58;1.60;340.10;3.40;1.19;12241.74;122.42;42.89;15175.41;151.75;53.17;211.34;2.11;0.74;1.67;0.02;0.01;114.48;1.14;0.40;0.06;0.00;0.00;28542.66;285.43;100.00;480.14;4.80;1.68;340.10;3.40;1.19;12243.19;122.43;42.89;15175.41;151.75;53.17;214.05;2.14;0.75;1.67;0.02;0.01;88.04;0.88;0.31;0.06;0.00;0.00;28542.66;285.43;100.00;480.10;4.80;1.68;340.10;3.40;1.19;12243.19;122.43;42.89;15175.47;151.75;53.17;214.09;2.14;0.75;1.67;0.02;0.01;88.04;0.88;0.31;0.00;0.00;0.00;28542.66;285.43;100.00;480.27;4.80;1.68;340.11;3.40;1.19;12305.58;123.06;43.11;15112.89;151.13;52.95;214.09;2.14;0.75;1.67;0.02;0.01;88.04;0.88;0.31;-;-;0.00;
Якимово;22126.17;221.26;100.00;1128.67;11.29;5.10;617.03;6.17;2.79;19639.70;196.40;88.76;526.22;5.26;2.38;214.15;2.14;0.97;-;-;-;0.40;0.00;0.00;0.00;0.00;0.00;22126.17;221.26;100.00;1128.67;11.29;5.10;617.03;6.17;2.79;19639.70;196.40;88.76;526.22;5.26;2.38;214.15;2.14;0.97;-;-;0.00;0.40;0.00;0.00;0.00;0.00;0.00;22126.17;221.26;100.00;1128.67;11.29;5.10;617.03;6.17;2.79;19639.70;196.40;88.76;526.22;5.26;2.38;214.15;2.14;0.97;-;-;-;0.40;0.00;0.00;0.00;0.00;0.00;22126.17;221.26;100.00;1128.67;11.29;5.10;617.03;6.17;2.79;19639.70;196.40;88.76;526.22;5.26;2.38;214.15;2.14;0.97;-;-;0.00;0.40;0.00;0.00;-;-;0.00;
Плевен;465252.82;4652.53;100.00;25458.32;254.58;5.47;15657.41;156.57;3.37;371728.85;3717.29;79.90;34048.58;340.49;7.32;15547.57;155.48;3.34;1957.71;19.58;0.42;850.34;8.50;0.18;4.05;0.04;0.00;465252.82;4652.53;100.00;25509.56;255.10;5.48;15662.23;156.62;3.37;371673.78;3716.74;79.89;34048.41;340.48;7.32;15547.46;155.47;3.34;1957.71;19.58;0.42;849.68;8.50;0.18;4.00;0.04;0.00;465252.82;4652.53;100.00;25370.76;253.71;5.45;15902.32;159.02;3.42;371537.89;3715.38;79.86;34054.39;340.54;7.32;15580.84;155.81;3.35;1958.42;19.58;0.42;848.12;8.48;0.18;0.08;0.00;0.00;465252.75;4652.53;100.00;25418.14;254.18;5.46;15909.44;159.09;3.42;371611.00;3716.11;79.87;33842.42;338.42;7.27;15700.21;157.00;3.37;1922.94;19.23;0.41;848.53;8.49;0.18;0.07;0.00;0.00;
Белене;28271.49;282.71;100.00;1541.47;15.41;5.45;830.76;8.31;2.94;20129.59;201.30;71.20;2641.99;26.42;9.35;2268.91;22.69;8.03;827.12;8.27;2.93;31.64;0.32;0.11;0.00;0.00;0.00;28271.49;282.71;100.00;1541.35;15.41;5.45;830.78;8.31;2.94;20129.68;201.30;71.20;2641.99;26.42;9.35;2268.91;22.69;8.03;827.12;8.27;2.93;31.64;0.32;0.11;0.00;0.00;0.00;28271.49;282.71;100.00;1552.20;15.52;5.49;830.27;8.30;2.94;20120.34;201.20;71.17;2641.99;26.42;9.35;2268.91;22.69;8.03;827.74;8.28;2.93;30.03;0.30;0.11;0.00;0.00;0.00;28271.48;282.71;100.00;1557.28;15.57;5.51;830.34;8.30;2.94;20106.13;201.06;71.12;2641.04;26.41;9.34;2278.93;22.79;8.06;827.74;8.28;2.93;30.03;0.30;0.11;-;-;0.00;
